weeknum,end_station_name,member_casual,count_of_users
27,Lincoln Ave & Belle Plaine Ave,casual,124
29,Wolcott (Ravenswood) Ave & Montrose Ave,casual,124
29,Benson Ave & Church St,casual,124
18,Desplaines St & Kinzie St,casual,123
18,Field Museum,casual,123
19,Wells St & Evergreen Ave,casual,123
19,Desplaines St & Kinzie St,casual,123
25,Ashland Ave & Blackhawk St,casual,123
30,State St & Kinzie St,casual,123
12,Shedd Aquarium,casual,122
15,Kingsbury St & Erie St,casual,122
17,Damen Ave & Pierce Ave,casual,122
19,Broadway & Waveland Ave,casual,122
23,Bissell St & Armitage Ave*,casual,122
23,Delano Ct & Roosevelt Rd,casual,122
26,Pine Grove Ave & Waveland Ave,casual,122
27,State St & Kinzie St,casual,122
29,Millennium Park,casual,122
18,Wabash Ave & Wacker Pl,casual,121
18,Clark St & Elm St,casual,121
22,Wood St & Chicago Ave,casual,121
26,Clarendon Ave & Gordon Ter,casual,121
29,Sheridan Rd & Lawrence Ave,casual,121
15,Rush St & Superior St,casual,120
17,Clark St & Elm St,casual,120
18,Sheridan Rd & Buena Ave,casual,120
19,Lincoln Park Conservatory,casual,120
22,Kimbark Ave & 53rd St,casual,120
23,Shore Dr & 55th St,casual,120
27,State St & 35th St,casual,120
28,Broadway & Thorndale Ave,casual,120
28,State St & Kinzie St,casual,120
29,Theater on the Lake,casual,120
17,Michigan Ave & 8th St,casual,119
22,McClurg Ct & Erie St,casual,119
22,Sheridan Rd & Lawrence Ave,casual,119
23,Lincoln Park Conservatory,casual,119
29,Dusable Harbor,casual,119
16,Wells St & Concord Ln,casual,118
18,Kimbark Ave & 53rd St,casual,118
19,Clark St & Elm St,casual,118
21,Sedgwick St & Webster Ave,casual,118
24,State St & Harrison St,casual,118
28,Dayton St & North Ave,casual,118
29,Jefferson St & Monroe St,casual,118
15,Sheridan Rd & Noyes St (NU),casual,117
28,Aberdeen St & Monroe St,casual,117
29,Aberdeen St & Monroe St,casual,117
30,Dusable Harbor,casual,117
14,Damen Ave & Pierce Ave,casual,116
19,Halsted St & Clybourn Ave,casual,116
21,Adler Planetarium,casual,116
27,Larrabee St & Division St,casual,116
28,State St & 35th St,casual,116
29,Clinton St & Washington Blvd,casual,116
30,Clinton St & Washington Blvd,casual,116
19,Columbus Dr & Randolph St,casual,115
22,Delano Ct & Roosevelt Rd,casual,115
22,State St & Kinzie St,casual,115
23,Carpenter St & Huron St,casual,115
24,Wolcott (Ravenswood) Ave & Montrose Ave,casual,115
25,Clark St & Bryn Mawr Ave,casual,115
28,Clinton St & Washington Blvd,casual,115
11,Millennium Park,casual,114
16,Michigan Ave & 8th St,casual,114
